"","price","vehicleType","gearbox","powerPS","kilometer","fuelType","age"
"422",15500,"suv","automatik",239,150000,"diesel",9
"423",90500,"cabrio","automatik",295,90000,"benzin",58
"426",11500,"compact","automatik",179,50000,"benzin",7
"432",1199,"suv","manuell",80,150000,"benzin",25
"437",1690,"compact","manuell",75,150000,"benzin",16
"442",1000,"compact","manuell",50,150000,"benzin",17
"443",3950,"compact","automatik",5,70000,"diesel",13
"446",1299,"coupe","manuell",75,150000,"benzin",19
"451",1490,"compact","manuell",58,150000,"benzin",10
"464",2238,"compact","manuell",75,125000,"benzin",14
"466",3350,"coupe","manuell",170,150000,"benzin",20
"469",4199,"compact","manuell",75,150000,"benzin",15
"470",6999,"compact","manuell",85,30000,"benzin",8
"471",4490,"compact","manuell",60,100000,"benzin",9
"473",21950,"cabrio","manuell",160,90000,"benzin",7
"482",24900,"coupe","automatik",292,125000,"benzin",8
"486",200,"compact","manuell",60,150000,"benzin",22
"490",20500,"cabrio","automatik",239,150000,"diesel",8
"493",1099,"compact","manuell",45,30000,"benzin",22
"498",5300,"coupe","manuell",179,125000,"benzin",18
"499",3555,"compact","automatik",109,100000,"benzin",14
"505",8700,"cabrio","manuell",140,150000,"diesel",11
"506",6990,"compact","manuell",86,50000,"benzin",5
"508",1650,"compact","manuell",63,150000,"benzin",11
"513",6500,"compact","manuell",81,40000,"benzin",5
"519",27500,"coupe","automatik",204,100000,"diesel",7
"523",2390,"compact","manuell",54,125000,"benzin",10
"528",2295,"cabrio","automatik",54,100000,"benzin",17
"532",500,"compact","manuell",45,150000,"benzin",21
"534",1250,"suv","manuell",116,125000,"benzin",19
"539",18300,"suv","manuell",122,40000,"benzin",4
"541",1000,"compact","manuell",75,150000,"benzin",16
"543",36500,"cabrio","manuell",185,150000,"benzin",36
"544",2700,"compact","manuell",75,125000,"benzin",14
"548",30900,"coupe","automatik",354,60000,"benzin",6
"549",2999,"compact","manuell",75,80000,"benzin",8
"554",1900,"compact","manuell",136,150000,"benzin",13
"555",4900,"cabrio","manuell",44,90000,"benzin",44
"561",1350,"compact","manuell",60,150000,"benzin",16
"567",2400,"compact","manuell",69,150000,"diesel",13
"568",4800,"suv","manuell",145,150000,"benzin",13
"569",3250,"compact","manuell",60,100000,"benzin",6
"577",1999,"compact","manuell",60,100000,"benzin",15
"581",2150,"compact","manuell",64,100000,"benzin",9
"582",4999,"coupe","manuell",180,150000,"benzin",18
"587",8200,"compact","manuell",122,90000,"benzin",11
"589",750,"compact","manuell",75,150000,"benzin",20
"592",1190,"compact","manuell",60,125000,"benzin",16
"595",1150,"compact","manuell",60,150000,"benzin",16
"607",1999,"coupe","manuell",116,150000,"benzin",16
"610",9990,"suv","manuell",150,100000,"diesel",7
"613",2150,"compact","automatik",75,150000,"benzin",14
"623",1650,"compact","manuell",69,150000,"diesel",11
"624",999,"compact","manuell",75,150000,"benzin",20
"625",21500,"suv","automatik",224,90000,"diesel",8
"633",5350,"compact","manuell",116,150000,"benzin",14
"638",5990,"coupe","automatik",197,150000,"benzin",15
"641",1600,"compact","manuell",64,150000,"benzin",15
"652",10500,"suv","manuell",140,40000,"benzin",8
"656",1698,"suv","manuell",136,150000,"benzin",20
"660",1480,"compact","manuell",58,150000,"benzin",14
"663",3700,"coupe","manuell",143,150000,"benzin",14
"666",21000,"coupe","manuell",409,150000,"benzin",10
"676",2300,"coupe","manuell",170,150000,"benzin",18
"679",24800,"cabrio","automatik",231,50000,"benzin",21
"682",6200,"compact","manuell",95,100000,"benzin",8
"683",5300,"compact","manuell",68,100000,"diesel",8
"685",1800,"compact","manuell",58,90000,"benzin",18
"686",2100,"compact","manuell",64,150000,"benzin",12
"701",4000,"suv","manuell",120,150000,"benzin",18
"702",950,"compact","manuell",60,150000,"benzin",18
"708",9250,"compact","manuell",75,40000,"benzin",5
"718",2400,"compact","manuell",75,150000,"benzin",11
"723",3450,"compact","manuell",88,100000,"benzin",10
"725",7500,"coupe","automatik",71,40000,"benzin",4
"728",2100,"compact","manuell",65,150000,"benzin",13
"730",13900,"cabrio","manuell",150,80000,"benzin",9
"731",550,"coupe","manuell",105,150000,"benzin",22
"735",3200,"compact","manuell",75,125000,"benzin",17
"737",11540,"coupe","manuell",122,80000,"benzin",7
"738",13199,"cabrio","manuell",120,30000,"benzin",5
"739",12790,"cabrio","automatik",163,40000,"benzin",16
"743",8200,"compact","manuell",75,80000,"diesel",4
"754",1800,"compact","manuell",63,125000,"benzin",13
"764",10490,"compact","manuell",80,30000,"benzin",4
"769",10999,"compact","manuell",117,60000,"benzin",6
"770",13900,"compact","manuell",86,30000,"benzin",4
"772",5600,"coupe","manuell",224,150000,"benzin",17
"773",18000,"cabrio","manuell",122,20000,"benzin",5
"778",3850,"cabrio","manuell",141,150000,"benzin",16
"783",2250,"compact","manuell",75,150000,"benzin",13
"786",7490,"compact","manuell",105,70000,"diesel",8
"791",47999,"cabrio","automatik",313,60000,"diesel",3
"796",700,"compact","manuell",45,150000,"benzin",20
"797",2750,"suv","manuell",150,150000,"diesel",14
"812",180,"coupe","manuell",55,125000,"benzin",20
"814",1200,"compact","manuell",75,150000,"benzin",17
"816",5250,"cabrio","automatik",193,150000,"benzin",21
"818",4600,"compact","manuell",75,80000,"benzin",8
"822",2799,"cabrio","automatik",116,150000,"benzin",18
"825",5999,"compact","manuell",69,50000,"benzin",5
"828",7600,"coupe","manuell",122,125000,"benzin",11
"829",7499,"cabrio","manuell",170,150000,"benzin",16
"836",2799,"compact","manuell",75,90000,"benzin",16
"848",6999,"coupe","manuell",265,150000,"benzin",16
"851",7450,"cabrio","automatik",170,150000,"benzin",14
"852",1850,"compact","manuell",75,100000,"diesel",15
"856",4800,"compact","manuell",80,100000,"benzin",10
"859",5299,"compact","manuell",90,150000,"benzin",12
"866",8000,"suv","manuell",129,150000,"diesel",10
"871",2410,"compact","manuell",69,150000,"benzin",13
"875",3500,"cabrio","manuell",109,150000,"benzin",12
"877",500,"compact","manuell",39,80000,"benzin",19
"889",11200,"compact","manuell",105,30000,"benzin",3
"890",43900,"cabrio","automatik",265,10000,"benzin",3
"892",21500,"coupe","automatik",239,150000,"diesel",8
"896",1499,"compact","automatik",90,150000,"benzin",18
"903",2000,"compact","manuell",68,150000,"diesel",15
"910",1250,"cabrio","manuell",50,50000,"benzin",22
"912",7900,"suv","manuell",150,80000,"benzin",12
"913",2998,"coupe","manuell",170,150000,"benzin",17
"919",25950,"suv","manuell",163,30000,"diesel",3
"922",1199,"compact","manuell",60,125000,"benzin",17
"925",2499,"compact","manuell",95,150000,"diesel",11
"926",1800,"coupe","manuell",116,125000,"benzin",16
"928",2800,"compact","manuell",69,100000,"benzin",13
"933",5900,"compact","manuell",92,90000,"benzin",8
"937",7100,"coupe","manuell",177,150000,"diesel",9
"943",2300,"compact","manuell",65,50000,"benzin",11
"947",3999,"compact","manuell",65,40000,"benzin",8
"953",10450,"cabrio","manuell",220,150000,"benzin",16
"955",14000,"cabrio","manuell",71,5000,"benzin",14
"960",1690,"compact","manuell",75,125000,"benzin",15
"961",30600,"cabrio","automatik",231,80000,"diesel",7
"972",4700,"cabrio","manuell",117,150000,"benzin",21
"977",1400,"compact","manuell",75,150000,"benzin",15
"985",790,"compact","manuell",102,150000,"benzin",21
"992",1999,"cabrio","manuell",131,125000,"benzin",21
"994",3999,"cabrio","automatik",84,150000,"benzin",10
"996",1500,"coupe","manuell",120,150000,"benzin",16
"1001",26500,"coupe","automatik",306,40000,"benzin",7
"1002",710,"compact","manuell",54,150000,"benzin",22
"1009",14500,"cabrio","manuell",163,60000,"benzin",10
"1012",46950,"suv","automatik",250,30000,"diesel",4
"1018",16999,"compact","manuell",102,10000,"benzin",2
"1020",10100,"suv","automatik",239,100000,"diesel",9
"1025",200,"compact","manuell",60,150000,"benzin",20
"1026",1990,"compact","manuell",125,150000,"benzin",21
"1037",1000,"compact","manuell",101,150000,"benzin",18
"1042",3200,"suv","automatik",211,150000,"benzin",22
"1043",150,"compact","manuell",45,150000,"benzin",21
"1045",5699,"cabrio","manuell",90,150000,"benzin",30
"1049",6900,"cabrio","manuell",193,150000,"benzin",18
"1051",10900,"compact","automatik",179,80000,"benzin",7
"1054",1250,"compact","manuell",67,150000,"diesel",15
"1056",5800,"cabrio","manuell",106,70000,"benzin",12
"1058",6000,"coupe","manuell",170,150000,"benzin",15
"1059",500,"compact","manuell",45,70000,"benzin",21
"1060",5990,"compact","manuell",69,20000,"benzin",8
"1061",800,"coupe","manuell",105,150000,"benzin",18
"1069",2800,"compact","manuell",60,150000,"benzin",11
"1071",4750,"cabrio","manuell",113,150000,"benzin",26
"1079",4250,"compact","manuell",80,125000,"benzin",11
"1080",4000,"cabrio","automatik",82,125000,"benzin",14
"1082",12800,"compact","manuell",101,40000,"benzin",3
"1085",300,"compact","manuell",85,150000,"benzin",17
"1091",3200,"compact","manuell",75,125000,"benzin",10
"1093",4800,"coupe","manuell",163,100000,"benzin",16
"1097",21800,"coupe","manuell",160,50000,"benzin",5
"1101",11000,"cabrio","manuell",231,150000,"benzin",15
"1109",1250,"compact","manuell",52,125000,"benzin",14
"1116",17000,"cabrio","automatik",344,125000,"benzin",9
"1117",7350,"cabrio","manuell",102,70000,"benzin",14
"1123",1500,"compact","manuell",58,125000,"benzin",15
"1128",2699,"cabrio","manuell",110,150000,"benzin",12
"1131",3200,"compact","manuell",75,150000,"benzin",12
"1136",5500,"compact","manuell",80,125000,"benzin",9
"1138",4900,"cabrio","manuell",109,50000,"benzin",11
"1152",2300,"compact","manuell",75,150000,"benzin",15
"1155",11500,"coupe","manuell",179,100000,"benzin",16
"1157",12990,"cabrio","manuell",218,70000,"benzin",10
"1158",5799,"compact","manuell",75,150000,"diesel",8
"1160",500,"compact","manuell",60,150000,"benzin",15
"1162",1850,"compact","manuell",65,150000,"diesel",13
"1165",950,"compact","manuell",60,150000,"benzin",18
"1168",3950,"cabrio","manuell",73,70000,"benzin",12
"1173",8500,"compact","manuell",105,80000,"benzin",5
"1177",5500,"cabrio","automatik",71,80000,"benzin",8
"1178",5400,"compact","manuell",68,30000,"benzin",6
"1179",7350,"coupe","automatik",170,150000,"diesel",14
"1188",24400,"coupe","manuell",295,150000,"benzin",11
"1189",1212,"compact","manuell",50,20000,"benzin",15
"1192",5400,"coupe","automatik",179,150000,"benzin",25
"1195",1000,"compact","manuell",58,150000,"benzin",14
"1197",2400,"compact","automatik",101,150000,"benzin",18
"1198",9999,"suv","manuell",105,30000,"benzin",3
"1202",5400,"cabrio","manuell",140,150000,"benzin",11
"1207",3200,"cabrio","manuell",95,90000,"benzin",11
"1210",7450,"cabrio","manuell",143,150000,"benzin",14
"1218",550,"compact","manuell",60,150000,"benzin",19
"1226",600,"compact","manuell",54,80000,"benzin",24
"1229",16960,"suv","manuell",122,30000,"benzin",4
"1232",26500,"suv","automatik",231,70000,"diesel",6
"1235",5300,"suv","automatik",194,150000,"benzin",13
"1237",14400,"coupe","automatik",299,125000,"benzin",9
"1238",2100,"compact","manuell",105,150000,"benzin",17
"1249",25345,"coupe","manuell",54,125000,"benzin",50
"1250",4950,"compact","manuell",80,100000,"benzin",10
"1256",3550,"compact","automatik",45,125000,"diesel",9
"1270",9000,"suv","automatik",163,90000,"diesel",14
"1274",9299,"compact","manuell",105,50000,"benzin",6
"1275",6399,"cabrio","manuell",110,80000,"benzin",14
"1278",5600,"compact","manuell",60,80000,"benzin",8
"1279",3300,"cabrio","manuell",61,100000,"benzin",14
"1280",1350,"compact","manuell",50,150000,"benzin",18
"1284",6299,"compact","manuell",60,50000,"benzin",5
"1288",4450,"compact","manuell",23,70000,"benzin",46
"1298",4490,"coupe","automatik",310,150000,"benzin",33
"1301",50950,"suv","automatik",256,20000,"diesel",3
"1310",4000,"compact","manuell",73,90000,"benzin",9
"1315",12400,"cabrio","manuell",136,150000,"diesel",9
"1318",799,"compact","manuell",54,125000,"benzin",14
"1319",20990,"coupe","manuell",211,125000,"benzin",8
"1322",2350,"compact","manuell",98,100000,"benzin",15
"1323",5200,"cabrio","manuell",231,125000,"benzin",16
"1328",850,"compact","manuell",45,150000,"benzin",25
"1331",3999,"cabrio","manuell",120,125000,"benzin",18
"1339",24750,"coupe","automatik",239,80000,"diesel",7
"1340",2650,"compact","manuell",88,125000,"benzin",13
"1341",4450,"compact","manuell",86,125000,"benzin",10
"1343",14499,"coupe","automatik",177,150000,"diesel",7
"1350",5750,"compact","manuell",80,20000,"benzin",11
"1351",15700,"suv","automatik",224,150000,"diesel",11
"1352",7924,"coupe","manuell",150,150000,"benzin",31
"1359",42500,"suv","automatik",190,30000,"diesel",3
"1361",2699,"compact","automatik",61,150000,"benzin",10
"1362",2490,"compact","manuell",50,100000,"benzin",14
"1380",42900,"coupe","manuell",320,70000,"benzin",15
"1385",10500,"cabrio","automatik",163,100000,"benzin",12
"1388",1100,"compact","manuell",50,90000,"benzin",17
"1389",2950,"coupe","manuell",170,150000,"benzin",17
"1399",2250,"compact","manuell",83,150000,"benzin",15
"1412",25000,"coupe","automatik",204,100000,"diesel",6
"1420",1350,"compact","manuell",75,150000,"benzin",18
"1423",6940,"compact","manuell",55,30000,"benzin",5
"1427",1200,"coupe","manuell",125,150000,"benzin",19
"1429",35911,"coupe","manuell",295,20000,"benzin",10
"1433",5800,"suv","manuell",86,150000,"diesel",7
"1435",650,"compact","manuell",75,150000,"benzin",22
"1436",27300,"coupe","manuell",170,50000,"benzin",5
"1438",4900,"compact","manuell",69,70000,"benzin",8
"1440",7000,"compact","manuell",102,90000,"benzin",13
"1447",2700,"suv","manuell",124,150000,"benzin",16
"1448",5200,"coupe","manuell",105,125000,"benzin",10
"1451",36890,"cabrio","automatik",265,40000,"diesel",5
"1462",1200,"compact","manuell",82,150000,"benzin",14
"1468",1300,"compact","manuell",60,125000,"benzin",13
"1471",14500,"coupe","automatik",219,150000,"diesel",11
"1472",3599,"compact","manuell",58,90000,"benzin",8
"1476",3590,"cabrio","manuell",90,125000,"benzin",12
"1479",4200,"compact","manuell",80,125000,"benzin",11
"1486",850,"compact","manuell",90,150000,"benzin",17
"1488",799,"compact","manuell",102,150000,"benzin",18
"1493",7999,"coupe","automatik",250,150000,"benzin",13
"1494",5350,"compact","automatik",71,60000,"benzin",7
"1498",1700,"compact","manuell",75,150000,"benzin",15
"1502",8900,"compact","manuell",69,40000,"benzin",4
"1504",1100,"compact","manuell",101,150000,"benzin",18
"1507",2000,"cabrio","manuell",100,150000,"benzin",28
"1513",7550,"compact","manuell",84,40000,"benzin",6
"1515",8900,"cabrio","manuell",126,70000,"benzin",9
"1521",6400,"compact","manuell",69,70000,"benzin",6
"1529",12899,"coupe","manuell",122,100000,"benzin",7
"1534",4350,"compact","manuell",90,150000,"benzin",14
"1535",1400,"compact","manuell",75,150000,"benzin",19
"1538",9999,"compact","manuell",174,80000,"benzin",8
"1539",6200,"compact","manuell",200,150000,"diesel",13
"1543",2999,"compact","manuell",65,125000,"benzin",12
"1549",1700,"compact","manuell",88,150000,"benzin",15
"1552",3699,"compact","manuell",131,150000,"diesel",12
"1553",4090,"compact","manuell",69,125000,"benzin",8
"1557",23300,"suv","automatik",136,30000,"diesel",2
"1560",4100,"coupe","manuell",170,150000,"benzin",15
"1563",5799,"compact","automatik",71,60000,"benzin",9
"1568",1000,"compact","automatik",54,150000,"benzin",18
"1571",4490,"compact","manuell",80,150000,"diesel",9
"1579",1400,"compact","manuell",75,150000,"benzin",14
"1581",2600,"cabrio","manuell",116,150000,"benzin",21
"1585",3200,"cabrio","manuell",150,150000,"benzin",20
"1590",7660,"cabrio","manuell",163,150000,"benzin",13
"1598",8499,"compact","manuell",200,90000,"benzin",15
"1599",750,"compact","manuell",54,150000,"benzin",17
"1602",5200,"compact","manuell",101,70000,"benzin",8
"1603",4350,"compact","manuell",75,150000,"benzin",12
"1610",1100,"cabrio","manuell",75,150000,"benzin",26
"1613",1350,"compact","manuell",60,150000,"benzin",18
"1624",950,"compact","manuell",60,150000,"benzin",16
"1626",13000,"coupe","manuell",150,150000,"diesel",8
"1627",1599,"compact","manuell",54,125000,"benzin",16
"1632",7900,"compact","manuell",73,90000,"benzin",5
"1634",14999,"cabrio","manuell",252,125000,"benzin",17
"1638",500,"compact","manuell",71,150000,"benzin",23
"1644",2750,"compact","automatik",41,150000,"diesel",14
"1649",10990,"suv","manuell",136,150000,"diesel",8
"1653",4000,"compact","automatik",61,50000,"benzin",11
"1659",4200,"coupe","manuell",150,150000,"diesel",13
"1672",11900,"suv","automatik",177,150000,"diesel",10
"1673",29500,"suv","automatik",231,150000,"diesel",7
"1675",2850,"compact","manuell",69,90000,"benzin",9
"1683",800,"compact","manuell",65,150000,"benzin",19
"1689",4800,"cabrio","manuell",155,150000,"benzin",19
"1692",14500,"coupe","manuell",160,150000,"benzin",28
"1694",599,"compact","manuell",45,150000,"benzin",20
"1701",4550,"cabrio","manuell",192,150000,"benzin",18
"1702",12999,"cabrio","manuell",193,150000,"benzin",18
"1705",6200,"cabrio","manuell",120,90000,"benzin",9
"1708",19995,"cabrio","automatik",231,30000,"benzin",9
"1717",1500,"compact","manuell",60,150000,"benzin",17
"1727",6400,"compact","manuell",60,30000,"benzin",5
"1733",12000,"suv","automatik",197,125000,"diesel",5
"1738",7900,"suv","manuell",174,150000,"diesel",12
"1739",799,"cabrio","manuell",75,150000,"benzin",20
"1747",6880,"compact","manuell",120,125000,"benzin",10
"1750",10599,"suv","automatik",150,150000,"diesel",8
"1751",650,"cabrio","manuell",125,150000,"benzin",22
"1756",1999,"compact","manuell",69,150000,"benzin",10
"1758",17900,"cabrio","automatik",306,125000,"benzin",10
"1762",16990,"suv","manuell",220,150000,"diesel",6
"1763",6400,"compact","manuell",71,50000,"diesel",7
"1764",750,"compact","manuell",94,100000,"benzin",10
"1772",10250,"cabrio","manuell",150,80000,"benzin",13
"1773",3500,"compact","manuell",75,80000,"benzin",8
"1777",20500,"suv","automatik",239,125000,"diesel",8
"1778",7200,"cabrio","manuell",163,150000,"benzin",16
"1783",600,"compact","manuell",45,125000,"benzin",23
"1786",1850,"compact","manuell",75,150000,"benzin",16
"1795",16900,"coupe","manuell",190,150000,"diesel",7
"1799",8450,"cabrio","manuell",140,150000,"diesel",10
"1801",5150,"compact","manuell",82,100000,"benzin",7
"1803",4590,"cabrio","manuell",136,150000,"benzin",19
"1807",1200,"compact","manuell",54,125000,"benzin",20
"1810",14990,"cabrio","manuell",105,40000,"benzin",5
"1819",43550,"suv","manuell",122,20000,"diesel",3
"1821",3900,"suv","automatik",212,150000,"benzin",21
"1822",8500,"compact","manuell",110,90000,"diesel",10
"1826",750,"compact","manuell",54,125000,"benzin",18
"1830",850,"compact","manuell",90,150000,"benzin",19
"1840",1300,"compact","manuell",125,5000,"benzin",28
"1843",2800,"compact","manuell",54,150000,"benzin",9
"1849",950,"suv","manuell",124,150000,"benzin",22
"1850",19999,"suv","automatik",163,90000,"diesel",3
"1851",1000,"compact","manuell",60,150000,"benzin",20
"1853",4900,"compact","manuell",68,70000,"benzin",4
"1854",1899,"compact","manuell",68,150000,"diesel",14
"1857",7890,"cabrio","manuell",126,125000,"benzin",11
"1858",2800,"compact","automatik",61,70000,"benzin",12
"1860",5950,"cabrio","manuell",120,30000,"benzin",18
"1862",24987,"cabrio","automatik",239,70000,"benzin",12
"1867",2900,"compact","manuell",60,150000,"benzin",18
"1873",37000,"suv","automatik",239,150000,"diesel",7
"1876",14295,"coupe","manuell",239,150000,"diesel",10
"1878",1399,"compact","manuell",90,150000,"benzin",17
"1885",980,"compact","manuell",54,90000,"benzin",19
"1887",8750,"cabrio","manuell",116,150000,"benzin",11
"1890",21950,"suv","automatik",239,150000,"diesel",8
"1893",2250,"compact","manuell",75,150000,"benzin",14
"1896",2750,"cabrio","manuell",150,100000,"benzin",16
"1899",9300,"coupe","automatik",272,150000,"benzin",12
"1909",59900,"suv","manuell",122,5000,"diesel",1
"1918",16350,"compact","automatik",122,40000,"benzin",5
"1924",11900,"compact","manuell",86,40000,"benzin",6
"1927",2986,"compact","manuell",75,70000,"benzin",14
"1929",6499,"compact","manuell",82,80000,"benzin",8
"1930",1099,"compact","manuell",75,150000,"benzin",14
"1933",780,"compact","manuell",45,150000,"benzin",19
"1934",690,"compact","manuell",50,150000,"benzin",19
"1937",3250,"compact","manuell",68,125000,"benzin",7
"1939",500,"compact","manuell",75,80000,"benzin",19
"1946",1500,"compact","manuell",75,150000,"benzin",16
"1959",3900,"compact","manuell",80,150000,"diesel",12
"1968",1798,"compact","manuell",60,150000,"benzin",12
"1979",4200,"compact","manuell",110,150000,"benzin",14
"1982",12500,"suv","manuell",145,125000,"diesel",7
"1983",1500,"compact","manuell",101,150000,"benzin",18
"1984",6200,"cabrio","manuell",193,90000,"benzin",19
"1987",8199,"suv","manuell",113,150000,"diesel",29
"1990",290,"compact","manuell",60,80000,"benzin",25
"1994",14900,"compact","automatik",102,50000,"benzin",4
"1997",41964,"cabrio","automatik",250,150000,"benzin",24
"1998",18500,"cabrio","automatik",170,100000,"benzin",9
"2000",4999,"compact","manuell",64,70000,"benzin",11
"2001",8300,"compact","manuell",86,70000,"benzin",5
"2004",7499,"compact","manuell",69,50000,"benzin",7
"2006",1000,"compact","automatik",75,150000,"benzin",15
"2014",400,"compact","manuell",58,125000,"benzin",15
"2015",1350,"compact","manuell",58,150000,"benzin",14
"2022",799,"compact","manuell",75,150000,"benzin",21
"2029",3650,"coupe","automatik",218,150000,"benzin",17
"2032",9999,"compact","manuell",75,30000,"diesel",4
"2040",5500,"compact","manuell",80,150000,"benzin",11
"2043",899,"compact","manuell",56,150000,"benzin",16
"2046",4290,"compact","manuell",75,60000,"benzin",4
"2049",950,"compact","manuell",50,150000,"benzin",16
"2054",14100,"coupe","automatik",170,150000,"diesel",7
"2055",3990,"cabrio","manuell",136,150000,"benzin",13
"2062",4600,"coupe","automatik",132,150000,"benzin",28
"2066",965,"compact","manuell",75,150000,"benzin",15
"2067",3500,"coupe","manuell",140,125000,"benzin",17
"2069",2300,"cabrio","manuell",101,150000,"benzin",19
"2075",4000,"compact","manuell",109,150000,"diesel",11
"2080",14450,"suv","automatik",105,50000,"benzin",5
"2082",500,"compact","manuell",60,150000,"benzin",21
"2084",13990,"cabrio","manuell",156,50000,"benzin",5
"2096",500,"compact","manuell",54,150000,"benzin",18
"2097",1750,"cabrio","manuell",90,150000,"benzin",22
"2101",9900,"cabrio","automatik",84,50000,"benzin",5
"2102",9200,"cabrio","manuell",160,70000,"benzin",11
